Municipality,2017,2018,2019,2020,2021
Bela Vista Do Maranhão,79653000,84589000,82340000,85346000,107575000
Benedito Leite,39728000,42785000,42519000,58872000,73162000
Bequimão,119026000,129085000,122644000,133471000,138140000
Bernardo Do Mearim,49165000,49354000,51133000,54286000,105126000
Boa Vista Do Gurupi,61457000,62701000,59532000,60096000,67554000
Bom Jardim,302628000,314773000,317567000,339522000,411430000
Bom Jesus Das Selvas,261959000,289674000,277738000,328814000,375736000
Bom Lugar,85887000,89704000,93589000,102588000,117983000
Brejo,274024000,291710000,254831000,332917000,328697000
Brejo De Areia,52039000,56880000,62743000,63070000,71082000
Buriti,187543000,202129000,191398000,238384000,277995000
Buriti Bravo,153791000,169172000,172871000,188993000,238710000
Buriticupu,496161000,560128000,547038000,669012000,748132000
Buritirana,89418000,99237000,95937000,113849000,122497000
Cachoeira Grande,56990000,55037000,55800000,56927000,60992000
Cajapió,53269000,55239000,59442000,62942000,70673000
Cajari,98950000,103119000,109247000,112658000,128111000
Campestre Do Maranhão,173647000,165206000,197437000,191753000,214038000
Cândido Mendes,121929000,129672000,135409000,142327000,146821000
Cantanhede,120067000,124232000,130391000,136097000,153436000
Capinzal Do Norte,131076000,143555000,165605000,188416000,284011000
Carolina,308131000,322563000,352797000,493586000,525940000
Carutapera,155306000,165981000,166572000,178216000,202040000
Caxias,1708947000,1810191000,1810975000,1910632000,2112941000
Cedral,63704000,67404000,68655000,71788000,78602000
Central Do Maranhão,43714000,48115000,46821000,47013000,58363000
Centro Do Guilherme,71079000,80630000,86071000,86633000,103761000
Centro Novo Do Maranhão,140870000,146351000,137811000,154499000,200805000
Chapadinha,655648000,710341000,736826000,793067000,894509000
Cidelândia,128191000,130210000,144682000,174979000,183588000
Codó,954063000,961571000,1033416000,1165332000,1648786000
Coelho Neto,337821000,366978000,363065000,386079000,462763000
Colinas,321582000,383083000,402481000,458770000,553253000
Conceição Do Lago-Açu,97202000,109203000,122809000,133363000,147232000
Coroatá,397738000,456535000,443384000,479587000,533670000
Cururupu,215857000,233826000,230005000,232034000,264588000
Davinópolis,623860000,475511000,435822000,153646000,190230000
Dom Pedro,223561000,229483000,234858000,244025000,262586000
Duque Bacelar,68642000,76860000,75728000,78514000,86926000
Esperantinópolis,124108000,140249000,143256000,147479000,159009000
Estreito,793960000,982492000,944775000,975695000,1138794000
Feira Nova Do Maranhão,65115000,75600000,81424000,88358000,118019000
Fernando Falcão,54846000,70161000,68857000,84315000,100433000
Formosa Da Serra Negra,131833000,139835000,145391000,161476000,202181000
Fortaleza Dos Nogueiras,141838000,158398000,160426000,230288000,346720000
Fortuna,102699000,108006000,110910000,126399000,143321000
Godofredo Viana,75766000,114843000,415681000,1318261000,2658714000
Gonçalves Dias,114542000,120683000,127000000,132603000,150088000
Governador Archer,67241000,77554000,67993000,82788000,91925000
Governador Edison Lobão,262396000,256702000,265820000,317403000,375030000
Governador Eugênio Barros,95062000,97604000,102441000,113374000,118448000
Governador Luiz Rocha,50910000,55414000,56922000,65982000,71094000
Governador Newton Bello,60912000,67248000,66964000,74882000,84191000
Governador Nunes Freire,181561000,214645000,220002000,225842000,258016000
Graça Aranha,42154000,38686000,41006000,44898000,54166000
Grajaú,669769000,750825000,738529000,845259000,1149837000
Guimarães,81860000,84478000,82500000,86762000,93414000
Humberto De Campos,144749000,161007000,161364000,168574000,184411000
Icatu,133765000,155840000,161612000,172101000,178973000
Igarapé Do Meio,159422000,186081000,197734000,229319000,370692000
Igarapé Grande,81835000,88857000,93195000,103945000,117754000
Imperatriz,6609422000,7141379000,7450113000,7193514000,7693511000
Itaipava Do Grajaú,78569000,84230000,88326000,88967000,107310000
Itapecuru Mirim,594081000,562978000,552351000,649875000,772940000
Itinga Do Maranhão,283493000,316903000,327257000,406286000,489270000
Jatobá,59925000,64818000,66656000,73117000,75706000
Jenipapo Dos Vieiras,89203000,93561000,101454000,107006000,125762000
João Lisboa,190145000,216440000,213700000,233874000,270665000
Joselândia,97469000,86452000,93649000,113915000,116564000
Junco Do Maranhão,42330000,45724000,43483000,52260000,61714000
Lago Da Pedra,366466000,395324000,414224000,422838000,550477000
Lago Do Junco,65710000,69138000,70008000,68940000,86662000
Lago Verde,99231000,105373000,116404000,130708000,135765000
Lagoa Do Mato,75446000,78216000,74217000,84519000,97026000
Lago Dos Rodrigues,72046000,79571000,74692000,104282000,83998000
Lagoa Grande Do Maranhão,72172000,78590000,76992000,85855000,102454000
Lajeado Novo,70457000,75197000,73879000,83822000,101485000
Lima Campos,150518000,171367000,147935000,140740000,274574000
Loreto,191936000,221203000,193254000,352001000,413287000
Luís Domingues,48059000,49725000,46049000,51951000,57351000
Magalhães De Almeida,115468000,122879000,118117000,126735000,140989000
Maracaçumé,160111000,178486000,171965000,182456000,207076000
Marajá Do Sena,50490000,59419000,60958000,66313000,90824000
Maranhãozinho,94054000,98638000,101067000,103860000,120934000
Mata Roma,122462000,146568000,145231000,171207000,179239000
Matinha,155135000,161407000,165288000,177730000,196785000
Matões,174474000,184510000,196407000,210616000,256405000
Matões Do Norte,79297000,78611000,74937000,83813000,99343000
Milagres Do Maranhão,50278000,53229000,49781000,69362000,64355000
Mirador,179763000,205687000,181018000,230130000,277841000
Miranda Do Norte,487752000,535702000,481591000,524180000,788634000
Mirinzal,90901000,101529000,102602000,104861000,112073000
Monção,199130000,216890000,234000000,238461000,257693000
Montes Altos,61797000,65983000,62778000,71931000,86501000
Morros,117045000,124207000,134789000,130610000,149936000
Nina Rodrigues,64827000,72275000,76513000,82274000,88539000
Nova Colinas,55841000,57190000,56551000,73841000,86441000
Nova Iorque,36821000,38640000,38293000,45672000,50977000
Nova Olinda Do Maranhão,132416000,132901000,140927000,154910000,183185000
Olho D'Água Das Cunhãs,136943000,150361000,148315000,166044000,188405000
Olinda Nova Do Maranhão,84615000,90140000,88906000,93848000,107307000
Paço Do Lumiar,864315000,930720000,990949000,1086044000,1240527000
Palmeirândia,124598000,123618000,124816000,128930000,139135000
Paraibano,138187000,154748000,165163000,170817000,183383000
Parnarama,199564000,228413000,234793000,280522000,323004000
Passagem Franca,127969000,146930000,155280000,169689000,200120000
Pastos Bons,190276000,196795000,198118000,250878000,309545000
Paulino Neves,106005000,102909000,104409000,97062000,118360000
Paulo Ramos,145685000,150252000,162104000,159786000,194181000
Pedreiras,562492000,600883000,582332000,601740000,787721000
Pedro Do Rosário,131169000,139964000,146378000,154552000,157904000
Penalva,187584000,213768000,216609000,236296000,253791000
Peri Mirim,76885000,78299000,77349000,81167000,95959000
Peritoró,182687000,217463000,202702000,205091000,230472000
Pindaré-Mirim,282566000,259739000,269157000,315520000,296247000
Pinheiro,828267000,825423000,895654000,911731000,1040054000
Pio Xii,147358000,159009000,161318000,172744000,191368000
Pirapemas,110406000,116249000,115792000,125404000,130801000
Poção De Pedras,135541000,148815000,152205000,142356000,163110000
Porto Franco,470765000,522458000,517130000,693339000,1026129000
Porto Rico Do Maranhão,41899000,40386000,44516000,44287000,45867000
Presidente Dutra,550957000,586820000,584910000,651858000,755768000
Presidente Juscelino,92250000,86920000,81889000,84131000,84499000
Presidente Médici,47715000,48710000,48017000,54722000,60695000
Presidente Sarney,136039000,127983000,128890000,136491000,165015000
Presidente Vargas,58277000,69710000,68336000,71772000,76191000
Primeira Cruz,75664000,76491000,78443000,84103000,89108000
Raposa,213007000,237393000,246828000,257138000,286199000
Riachão,309885000,352488000,335046000,551246000,673241000
Ribamar Fiquene,77430000,82556000,94143000,108713000,124208000
Rosário,310641000,357498000,371096000,405251000,443240000
Sambaíba,216552000,252217000,187125000,405891000,474716000
Santa Filomena Do Maranhão,47169000,49914000,51008000,54392000,60216000
Santa Helena,279040000,286056000,268495000,308955000,358032000
Santa Inês,1229422000,1289379000,1243982000,1333160000,1466090000
Santa Luzia,546589000,569221000,601881000,614228000,743553000
Santa Luzia Do Paruá,201655000,213777000,209575000,241304000,253366000
Santa Quitéria Do Maranhão,162900000,184783000,182771000,190336000,218496000
Santa Rita,268458000,269843000,297588000,303546000,354687000
Santana Do Maranhão,58103000,64675000,66746000,94041000,74107000
Santo Amaro Do Maranhão,81058000,79082000,78776000,86384000,95956000
Santo Antônio Dos Lopes,1613800000,1913636000,1864002000,2368471000,3055591000
São Benedito Do Rio Preto,111226000,124575000,126021000,140812000,143478000
São Bento,257121000,273716000,270449000,286296000,312229000
São Bernardo,248031000,281006000,283234000,260541000,281230000
São Domingos Do Azeitão,173390000,217053000,174047000,244053000,320539000
São Domingos Do Maranhão,269082000,290536000,291086000,326404000,355969000
São Félix De Balsas,47926000,46637000,44361000,65324000,86169000
São Francisco Do Brejão,95613000,102383000,99405000,104132000,121274000
São Francisco Do Maranhão,71996000,74495000,75982000,82952000,98997000
São João Batista,123443000,122744000,122792000,130420000,135625000
São João Do Carú,85452000,91001000,93428000,103615000,123039000
São João Do Paraíso,116892000,123541000,121012000,126096000,151478000
São João Do Soter,94708000,101575000,108805000,124754000,156403000
São João Dos Patos,263222000,266607000,273242000,300005000,341012000
São José De Ribamar,2005253000,2176258000,2122860000,2158301000,2293966000
São José Dos Basílios,52235000,50427000,53288000,56829000,61953000
São Luís,29846794000,33577348000,32102448000,33067132000,36535226000
São Luís Gonzaga Do Maranhão,126874000,137921000,139377000,143330000,170085000
São Mateus Do Maranhão,370150000,344744000,321124000,352694000,429291000
São Pedro Da Água Branca,95127000,97210000,106482000,104439000,127634000
São Pedro Dos Crentes,51780000,53531000,53162000,70880000,83552000
São Raimundo Das Mangabeiras,385799000,415658000,516311000,600856000,739661000
São Raimundo Do Doca Bezerra,35472000,38355000,36066000,40147000,43968000
São Roberto,43145000,40971000,40813000,46135000,45779000
São Vicente Ferrer,132105000,137053000,132101000,136735000,145781000
Satubinha,66342000,71238000,77630000,80415000,93100000
Senador Alexandre Costa,74199000,81105000,88625000,94679000,101851000
Senador La Rocque,150237000,145160000,145954000,172230000,187168000
Serrano Do Maranhão,67263000,68692000,53399000,61896000,72464000
Sítio Novo,142734000,152355000,167190000,189741000,221539000
Sucupira Do Norte,74318000,77581000,79527000,105294000,126237000
Sucupira Do Riachão,42312000,40891000,41268000,41030000,48010000
Tasso Fragoso,984288000,1164254000,1206681000,2231685000,2351452000
Timbiras,150305000,167532000,170039000,174673000,196385000
Timon,1796157000,1861126000,1896718000,2084617000,2320942000
Trizidela Do Vale,192364000,281096000,331756000,272343000,525551000
Tufilândia,46794000,48447000,49165000,50783000,60071000
Tuntum,276483000,312736000,324287000,348282000,365257000
Turiaçu,286312000,254502000,236491000,262720000,295967000
Turilândia,156656000,158752000,162115000,179052000,223113000
Tutóia,394417000,408841000,413286000,473472000,546267000
Urbano Santos,181721000,190595000,195985000,213627000,247541000
Vargem Grande,307783000,325136000,342665000,378418000,433576000
Viana,408001000,411808000,405850000,456542000,490490000
Vila Nova Dos Martírios,108215000,110401000,117401000,137206000,156939000
Vitória Do Mearim,255535000,257389000,243495000,259353000,318224000
Vitorino Freire,224540000,256624000,252931000,266159000,325567000
Zé Doca,386206000,433279000,441978000,456381000,567166000
Acauã,44378000,52078000,55291000,62584000,73561000
Agricolândia,34199000,37494000,40786000,43349000,47283000
Água Branca,183264000,200603000,216381000,218514000,243971000
Alagoinha Do Piauí,49631000,54374000,58945000,67200000,65442000
Alegrete Do Piauí,33755000,35757000,42223000,55057000,48184000
Alto Longá,89130000,100554000,107642000,119487000,130955000
Altos,372946000,418709000,450597000,476989000,537774000
Alvorada Do Gurguéia,73951000,70756000,62425000,74585000,82125000
Amarante,134528000,144120000,155827000,182047000,192592000
Angical Do Piauí,55261000,64259000,68691000,66750000,66748000
Anísio De Abreu,66756000,77120000,82020000,92246000,98945000
Antônio Almeida,70621000,136650000,86325000,133082000,143815000
Aroazes,45273000,48638000,49780000,55335000,57305000
Aroeiras Do Itaim,17961000,21585000,22661000,25690000,24625000
Arraial,34282000,37153000,39380000,44231000,48922000
Assunção Do Piauí,47388000,55579000,55445000,55220000,64266000
Avelino Lopes,77762000,78956000,83961000,89540000,97601000
Baixa Grande Do Ribeiro,744553000,953234000,863446000,1229454000,1768579000
Barra D'Alcântara,32371000,33276000,36818000,40152000,38963000
Barras,369213000,394813000,439115000,468844000,497599000
Barreiras Do Piauí,24224000,27413000,28970000,125685000,163172000
Barro Duro,62050000,68448000,76942000,85179000,89830000
Batalha,177475000,191851000,207330000,218227000,250803000
Bela Vista Do Piauí,33124000,35211000,38369000,44082000,46876000
Belém Do Piauí,26727000,29182000,33424000,39783000,41264000
Beneditinos,69202000,75928000,82371000,88636000,91895000
Bertolínia,53321000,58642000,61002000,69486000,72158000
Betânia Do Piauí,43507000,52705000,52380000,57089000,62561000
Boa Hora,45712000,52676000,53625000,63531000,62507000
Bocaina,48403000,43706000,46722000,53110000,47772000
Bom Jesus,873788000,908331000,838720000,1129103000,1410185000
Bom Princípio Do Piauí,49109000,52807000,56449000,62280000,70166000
Bonfim Do Piauí,36671000,41473000,43999000,48890000,52945000
Boqueirão Do Piauí,40198000,43233000,46518000,51619000,51725000
Brasileira,53639000,56114000,58836000,65218000,69324000
Brejo Do Piauí,31788000,34227000,34948000,38877000,43978000
Buriti Dos Lopes,157173000,174203000,183358000,192765000,214747000
Buriti Dos Montes,51318000,57382000,61702000,69078000,69690000
Cabeceiras Do Piauí,59083000,67423000,73225000,79299000,86134000
Cajazeiras Do Piauí,25414000,27717000,27903000,30318000,34182000
Cajueiro Da Praia,81551000,81911000,92358000,92555000,115376000
